"hid","doc_id","year","region","station","country","act","class","new_doc_id"
"HID0077","PB1887",1890,"Punjab","Sialkot","British India","Act III of 1880",NA,"PB1890"
"HID0078","PB1887",1890,"Punjab","Rawalpindi","British India",NA,NA,"PB1890"
"HID0079","PB1887",1890,"Punjab","Murree","British India","Voluntary System",NA,"PB1890"
"HID0080","PB1887",1890,"Punjab","Peshawar","British India","Act III of 1880","Third Class","PB1890"
"HID0081","PB1887",1890,"Punjab","Nowshera","British India",NA,NA,"PB1890"
"HID0082","MD1876",1877,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1877"
"HID0083","MD1876",1877,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1877"
"HID0084","MD1876",1877,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1877"
"HID0085","MD1876",1877,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1877"
"HID0086","MD1876",1877,"Madras Presidency","Madras","British India","Act XXII of 1864","Civil","MD1877"
"HID0087","MD1876",1877,"Madras Presidency","Rangoon","British Burma","Act XXII of 1864","Civil","MD1877"
"HID0088","MD1876",1877,"Madras Presidency","St. Thomas’ Mount","British India","Act XXII of 1864","Military","MD1877"
"HID0089","MD1876",1877,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1877"
"HID0090","MD1876",1877,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1877"
"HID0091","MD1876",1877,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1877"
"HID0092","MD1876",1877,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1877"
"HID0093","MD1876",1877,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military","MD1877"
"HID0094","MD1876",1877,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1877"
"HID0095","MD1876",1878,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1878"
"HID0096","MD1876",1878,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1878"
"HID0097","MD1876",1878,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1878"
"HID0098","MD1876",1878,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1878"
"HID0099","MD1876",1878,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1878"
"HID0100","MD1876",1878,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1878"
"HID0101","MD1876",1878,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military","MD1878"
"HID0102","MD1876",1878,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1878"
"HID0103","MD1876",1878,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1878"
"HID0104","MD1876",1878,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1878"
"HID0105","MD1876",1878,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1878"
"HID0106","MD1876",1878,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1878"
"HID0107","MD1876",1879,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1879"
"HID0108","MD1876",1879,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1879"
"HID0109","MD1876",1879,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1879"
"HID0110","MD1876",1879,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1879"
"HID0111","MD1876",1879,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1879"
"HID0112","MD1876",1879,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1879"
"HID0113","MD1876",1879,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1879"
"HID0114","MD1876",1879,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military","MD1879"
"HID0115","MD1876",1879,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1879"
"HID0116","MD1876",1879,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1879"
"HID0117","MD1876",1879,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1879"
