"hid","doc_id","year","region","station","country","act","class","new_doc_id"
"HID0284","BB1886",1880,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1880"
"HID0285","BB1886",1880,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1880"
"HID0286","BB1886",1880,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1880"
"HID0287","BB1886",1880,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1880"
"HID0288","BB1886",1880,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1880"
"HID0289","BB1886",1880,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1880"
"HID0290","BB1886",1880,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1880"
"HID0291","BB1886",1881,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1881"
"HID0292","BB1886",1881,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1881"
"HID0293","BB1886",1881,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1881"
"HID0294","BB1886",1881,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1881"
"HID0295","BB1886",1881,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1881"
"HID0296","BB1886",1881,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1881"
"HID0297","BB1886",1881,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1881"
"HID0298","BB1886",1881,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1881"
"HID0299","BB1886",1882,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1882"
"HID0300","BB1886",1882,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1882"
"HID0301","BB1886",1882,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1882"
"HID0302","BB1886",1882,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1882"
"HID0303","BB1886",1882,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1882"
"HID0304","BB1886",1882,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1882"
"HID0305","BB1886",1882,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1882"
"HID0306","BB1886",1882,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1882"
"HID0307","BB1886",1883,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1883"
"HID0308","BB1886",1883,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1883"
"HID0309","BB1886",1883,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1883"
"HID0310","BB1886",1883,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1883"
"HID0311","BB1886",1883,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1883"
"HID0312","BB1886",1883,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1883"
"HID0313","BB1886",1883,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1883"
"HID0314","BB1886",1883,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1883"
"HID0315","BB1886",1884,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1884"
"HID0316","BB1886",1884,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1884"
"HID0317","BB1886",1884,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1884"
"HID0318","BB1886",1884,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1884"
"HID0319","BB1886",1884,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1884"
"HID0320","BB1886",1884,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1884"
"HID0321","BB1886",1884,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1884"
"HID0322","BB1886",1884,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1884"
"HID0323","BB1886",1885,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1885"
"HID0324","BB1886",1885,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1885"
"HID0325","BB1886",1885,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1885"
"HID0326","BB1886",1885,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1885"
"HID0327","BB1886",1885,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1885"
"HID0328","BB1886",1885,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1885"
"HID0329","BB1886",1885,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1885"
"HID0330","BB1886",1885,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1885"
"HID0339","BB1886",1887,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1887"
"HID0340","BB1886",1887,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1887"
"HID0341","BB1886",1887,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1887"
"HID0342","BB1886",1887,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1887"
"HID0343","BB1886",1887,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1887"
"HID0344","BB1886",1887,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1887"
"HID0345","BB1886",1887,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1887"
"HID0346","BB1886",1887,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1887"
"HID0347","BB1886",1888,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1888"
"HID0348","BB1886",1888,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1888"
"HID0349","BB1886",1888,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1888"
"HID0350","BB1886",1888,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1888"
"HID0351","BB1886",1888,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1888"
"HID0352","BB1886",1888,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1888"
"HID0353","BB1886",1888,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1888"
"HID0354","BB1886",1888,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1888"
"HID0355","BB1886",1889,"Burma","Rangoon","British India","Act XXII of 1864","Second Class","BB1889"
"HID0356","BB1886",1889,"Burma","Bassein","British India","Act XIV of 1868","Third Class","BB1889"
"HID0357","BB1886",1889,"Burma","Prome","British India","Act XIV of 1868","Second Class","BB1889"
"HID0358","BB1886",1889,"Burma","Thayetmyo","British India","Act XXII of 1864","Second Class","BB1889"
"HID0359","BB1886",1889,"Burma","Akyab","British India","Act XIV of 1868","Second Class","BB1889"
"HID0360","BB1886",1889,"Burma","Moulmein","British India","Act XIV of 1868","Second Class","BB1889"
"HID0361","BB1886",1889,"Burma","Toungoo","British India","Act XIV of 1868","Third Class","BB1889"
"HID0362","BB1886",1889,"Burma","Henzada","British India","Act XIV of 1868","Third Class","BB1889"
