"hid","doc_id","year","region","station","country","act","class"
"HID0070","PB1890",1890,"Punjab","Subathu","British India",NA,NA
"HID0071","PB1890",1890,"Punjab","Dalhousie","British India",NA,"Third Class"
"HID0072","PB1890",1890,"Punjab","Umballa","British India","Voluntary System","Third Class"
"HID0073","PB1890",1890,"Punjab","Dagshai","British India",NA,NA
"HID0074","PB1890",1890,"Punjab","Jullundur","British India",NA,NA
"HID0075","PB1890",1890,"Punjab","Ferozepore","British India",NA,NA
"HID0076","PB1890",1890,"Punjab","Meean Meer","British India","Act III of 1880",NA
"HID0077","PB1890",1890,"Punjab","Sialkot","British India","Act III of 1880",NA
"HID0078","PB1890",1890,"Punjab","Rawalpindi","British India",NA,NA
"HID0079","PB1890",1890,"Punjab","Murree","British India","Voluntary System",NA
"HID0080","PB1890",1890,"Punjab","Peshawar","British India","Act III of 1880","Third Class"
"HID0081","PB1890",1890,"Punjab","Nowshera","British India",NA,NA
"HID0082","MD1877",1877,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0083","MD1877",1877,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0084","MD1877",1877,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0085","MD1877",1877,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0086","MD1877",1877,"Madras Presidency","Madras","British India","Act XXII of 1864","Civil"
"HID0087","MD1877",1877,"Madras Presidency","Rangoon","British Burma","Act XXII of 1864","Civil"
"HID0088","MD1877",1877,"Madras Presidency","St. Thomas’ Mount","British India","Act XXII of 1864","Military"
"HID0089","MD1877",1877,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0090","MD1877",1877,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0091","BB1877",1877,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0092","BB1877",1877,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0093","MD1877",1877,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military"
"HID0094","MD1877",1877,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0095","MD1878",1878,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0096","MD1878",1878,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0097","MD1878",1878,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0098","MD1878",1878,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0099","MD1878",1878,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0100","MD1878",1878,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0101","MD1878",1878,"Madras Presidency","Trichinopoly","British India","Act XXII of 1864","Military"
"HID0102","MD1878",1878,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0103","MD1878",1878,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0104","BB1878",1878,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0105","BB1878",1878,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0106","BB1878",1878,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
